LOCATION,BOS,ADDR_NUM,ST_NAME,ST_TYPE,ADDRESS,EAS_ADDRESS,CNN,PARCEL,ZIP,LAT_EAS,LONG_EAS,COORDINATES,BIKE_PARKING,PLACEMENT,RACKS,SPACES,MO_INST,YR_INSTALLED,INSTALLED_BY,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION
"John Muir and Skyline Blvd (Fort Funston, main lot)",,,,,None,,,,,,,"(37.718951, -122.500339)",RACK,PARCEL,4,0,,2014,NPS,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,NPS,5. INSTALL_BIKE_PARKING
Polo Field,,,,,None,,,,,,,"(37.768270, -122.492460)",RACK,PARCEL,0,0,,2013,Rec & Park,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,REC & PARK,5. INSTALL_BIKE_PARKING
San Francisco Federal Union,,,,,2645 OCEAN AVE,,,,,,,"(37.731654, -122.474188)",RACK,SIDEWALK,1,2,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Stanyan and Waller (Waller Street bicycle learning area and farmer's market),,,,,None,,,,,,,"(37.76825000, -122.45359000)",RACK,PARCEL,0,0,,2014,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Magnolia Brewery,,,,,1398 HAIGHT ST,,,,,,,"(37.77040275, -122.44512989)",RACK,PARKING_LANE,3,6,,2014,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Buchanan YMCA,,,,,1530 BUCHANAN ST,,,,,,,"(37.784184, -122.429150)",RACK,SIDEWALK,0,0,,n/a,private (publicly accessible),IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,BUSINESS,5. INSTALL_BIKE_PARKING
300 Ivy,,,,,401 GROVE ST,,,,,,,"(37.777492, -122.423560)",RACK,SIDEWALK,4,8,,2014,contractor,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,DEVELOPER,5. INSTALL_BIKE_PARKING
Mission Cheese,,,,,736 VALENCIA ST,,,,,,,"(37.761128, -122.421841)",RACK,PARKING_LANE,5,10,,2014,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Beretta,,,,,1199 VALENCIA ST,,,,,,,"(37.753848, -122.420553)",RACK,PARKING_LANE,4,8,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
"Sycamore, The",,,,,2140 MISSION ST,,,,,,,"(37.762785, -122.419734)",RACK,PARKING_LANE,5,10,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
ActivSpace / Treat Street Bicycle Works,,,,,3150 18TH ST,,,,,,,"(37.762699, -122.414256)",RACK,PARKING_LANE,5,10,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Universal Cafe,,,,,2814 19TH ST,,,,,,,"(37.76062897, -122.41064704)",RACK,PARKING_LANE,6,12,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Driftwood,,,,,1225 FOLSOM ST,,,,,,,"(37.774473, -122.410297)",RACK,PARKING_LANE,7,14,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Alemany Farmer's Market,,,,,100 ALEMANY BLVD,,,,,,,"(37.73628325, -122.41013968)",RACK,PARCEL,8,16,,2014,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Barbary Coast / Mikkeller,,,,,34 MASON ST,,,,,,,"(37.783976, -122.408981)",RACK,PARKING_LANE,6,12,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
Shared LLC,,,,,739 BRYANT ST,,,,,,,"(37.776878, -122.400934)",RACK,PARKING_LANE,5,10,,2013,SFMTA,IN_PROGRESS,UPCOMING_INSTALLATION,TO BE INSTALLED SOON,N/A,SFMTA,5. INSTALL_BIKE_PARKING
"Honey Hive Gallery, The",,,,,4117 JUDAH ST,,,,,,,"(37.76015777, -122.50636013)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Celia's By the Beach,,,,,4019 JUDAH ST,,,,,,,"(37.760244, -122.505205)",RACK,PARKING_LANE,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Devil's Teeth Bakery,,,,,3876 NORIEGA ST,,,,,,,"(37.753205, -122.505012)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Purusha Yoga,,,,,3729 BALBOA ST,,,,,,,"(37.77539588, -122.49886680)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Bank of America,,,,,3701 BALBOA ST,,,,,,,"(37.775408, -122.498591)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
South Sunset Playground,,,,,2601 40TH AVE,,,,,,,"(37.737387, -122.498452)",RACK,SIDEWALK,1,2,,2014,SFMTA,IN_PROGRESS,UNDER_REVIEW,MISSING_RACK,SURVEY,SFMTA,5. INSTALL_BIKE_PARKING
Shanghai Dumpling King,,,,,3319 BALBOA ST,,,,,,,"(37.775596, -122.494492)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Costello's Four Deuces,,,,,2319 TARAVAL ST,,,,,,,"(37.742123, -122.491129)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Richmond District Neighborhood Center,,,,,741 30TH AVE,,,,,,,"(37.77509971, -122.49028312)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Sunset Recreation Center,,,,,2201 LAWTON ST,,,,,,,"(37.75658875, -122.48684699)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Versus Games,,,,,1716 TARAVAL ST,,,,,,,"(37.742902, -122.484688)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,SFMTA CONTACTED,BUSINESS,2. RESPOND_TO_SFMTA
Bloom,,,,,1605 TARAVAL ST,,,,,,,"(37.74256657, -122.48340250)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Angelina's Deli Cafe,,,,,6000 CALIFORNIA ST,,,,,,,"(37.784224, -122.481987)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,POTENTIAL CORRAL,N/A,SFMTA,1. AGENT_TO_CONTACT
6001 California,,,,,6001 CALIFORNIA ST,,,,,,,"(37.783775, -122.481961)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,POTENTIAL CORRAL,N/A,SFMTA,1. AGENT_TO_CONTACT
SFPD Taraval Station,,,,,2345 24TH AVE,,,,,,,"(37.743734, -122.481461)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Wah Mei Preschool,,,,,1400 JUDAH ST,,,,,,,"(37.76186074, -122.47736908)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,BUSINESS,2. RESPOND_TO_SFMTA
Kezar Pavilion,,,,,755 STANYAN ST,,,,,,,"(37.766355, -122.476896)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
Jefferson CDC (SA),,,,,1325 18TH AVE,,,,,,,"(37.76296657, -122.47654112)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Temple Baptist Church,,,,,3355 19TH AVE,,,,,,,"(37.728502, -122.475241)",RACK,SIDEWALK,1,0,,2014,SFMTA,IN_PROGRESS,UNDER_REVIEW,SURVEYED ,STENCILED,SFMTA,4. REVIEW_AND_APPROVALS
Heartbaker Bakery,,,,,1408 CLEMENT ST,,,,,,,"(37.782751, -122.474399)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
Internet Archive,,,,,300 FUNSTON AVE,,,,,,,"(37.782308, -122.471711)",RACK,PARKING_LANE,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
St. Anne of the Sunset Catholic Church,,,,,850 JUDAH ST,,,,,,,"(37.762226, -122.471280)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT
Oceanview Laundromat,,,,,4089 19TH AVE,,,,,,,"(37.714472, -122.470277)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT
Clay Oven Indian Restaurant,,,,,385 WEST PORTAL AVE,,,,,,,"(37.736619, -122.470178)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA
The Dubliner,,,,,328 WEST PORTAL AVE,,,,,,,"(37.737803, -122.469714)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT
Thriveability Yoga Studio,,,,,300 WEST PORTAL AVE,,,,,,,"(37.738032, -122.469444)",RACK,SIDEWALK,0,0,,n/a,N/A,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY
